category,name,conductivity,emissivity,source,comments,color_argb
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 140 mm",0.875,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 150 mm",0.938,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 160 mm",1,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 170 mm",1.063,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 180 mm",1.125,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 190 mm",1.188,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 200 mm",1.25,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 210 mm",1.313,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 220 mm",1.375,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 230 mm",1.438,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 240 mm",1.5,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 250 mm",1.563,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 260 mm",1.625,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 270 mm",1.688,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 280 mm",1.75,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 290 mm",1.813,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 300 mm",1.875,0.9,ISO 6946 Method,,"255,175,240,255"
Concrete,Concrete (Heavily Reinforced),3,0.9,,,"255,130,130,130"
Concrete,Concrete (Reinforced),2.5,0.9,,,"255,160,160,160"
Concrete,Concrete (Wufi),0.793,0.9,WUFI-Passive Database,,"255,130,130,130"
Concrete,Concrete Brick,0.733,0.9,WUFI-Passive Database,,"255,190,190,190"
Concrete,Aerated Concrete,0.119,0.9,WUFI-Passive Database,,"255,230,230,230"
Finish,DensElement Barrier System,0.198,0.9,,,
Finish,Durock Cement Board,0.37,0.9,,,"255,145,166,150"
Finish,Fiber Cement Board,0.245,0.9,,,
Finish,Fiberglass,0.035,0.9,,,
Finish,GWB (Densglas Fireguard),0.135,0.9,,,"255,235,180,80"
Finish,GWB (Densglas Sheathing,0.128,0.9,,,"255,235,180,80"
Finish,GWB (Typ),0.17,0.9,,,"255,185,200,195"
Finish,GWB (USG Securock),1,0.9,,,"255,185,200,195"
Finish,Gypsum Board (USA),0.17,0.9,WUFI-Passive Database,,"255,185,200,195"
Finish,Magnesium Board,1.17,0.9,,,"255,170,135,175"
Finish,Stucco,0.722,0.9,,,"255,245,145,140"
Insulation,AAC Block,0.109,0.9,,,"255,230,230,230"
Insulation,Amer. Rockwool Prem. Plus Spray,0.035,0.9,,,
Insulation,AP Armaflex,0.036,0.9,,,
Insulation,Armartherm 500-150,0.044,0.9,,,
Insulation,Armartherm 500-200,0.058,0.9,,,
Insulation,Armartherm 500-250,0.065,0.9,,,
Insulation,Armartherm FRR,0.152,0.9,,,
Insulation,Aspen Aerogels - Spaceloft Grey,0.014,0.9,WUFI-Passive Database,,"255,190,190,190"
Insulation,ccSPF,0.022,0.9,,,"255,200,200,120"
Insulation,ccSPF w Metal Hangers,0.026,0.9,,,"255,200,200,120"
Insulation,Cellulose (Denspack),0.04,0.9,,,"255,255,255,0"
Insulation,Cellulose (Loose Fill),0.045,0.9,,,"255,255,255,0"
Insulation,"Cellulose Fiber (heat cond.: 0,04 W/mK)",0.04,0.9,WUFI-Passive Database,,"255,255,255,0"
Insulation,CompaCFoam 100,0.038,0.9,,,
Insulation,CompaCFoam 200,0.047,0.9,,,
Insulation,"Cork (heat cond.: 0,04 W/mK)",0.04,0.9,WUFI-Passive Database,,"255,255,255,0"
Insulation,DOW Thermax,0.022,0.9,,,"255,255,153,255"
Insulation,DOW Thermax (Derated to R-5.5/in),0.026,0.9,,,"255,255,153,255"
Insulation,DOW Thermax XARMOR,0.021,0.9,Manufacturer,Polyisocyanurate Board Foam,"255,255,153,255"
Insulation,EPS (heat cond.: 0.04 W/mK - density: 15 kg/m3),0.04,0.9,WUFI-Passive Database,,"255,255,255,0"
Insulation,EPS (Neopor Graphit),0.029,0.9,,,"255,225,225,175"
Insulation,EPS (Type I),0.039,0.9,,,"255,255,255,0"
Insulation,EPS (Type II),0.036,0.9,,,"255,255,255,0"
Insulation,EPS (Type IX),0.034,0.9,,,"255,255,255,0"
Insulation,Fabreeka-TIM,0.258,0.9,,,
Insulation,Fiberglass (Blown Spyder 1.8lb/cuft),0.035,0.9,,,"255,255,255,140"
Insulation,Fiberglass (Blown Spyder 1lb/cuft),0.039,0.9,,,"255,255,255,140"
Insulation,Fiberglass Batt,0.045,0.9,,,"255,255,255,140"
Insulation,Fiberglass Duct Insulation (compressed),0.034,0.9,,,"255,255,255,140"
Insulation,Fiberglass Solid Pultrusion,0.577,0.9,,,
Insulation,Foamglas,0.042,0.9,,,
Insulation,Gutex Multitherm,0.039,0.9,,,"255,130,130,0"
Insulation,Gutex Ultratherm,0.042,0.9,,,"255,130,130,0"
Insulation,Huntsman HeatLok HFO Pro ccspf,0.019,0.9,Manufacturer Data,,"255,200,200,120"
Insulation,Isolatek CAFCO Heat-Shield Spray Mineral Fiber,0.037,0.9,,,"255,255,0,255"
Insulation,Kingspan OPTIM-R Vacum Panel,0.005,0.9,,,"255,255,0,255"
Insulation,Low Density Glass Fibre Batt Insulation,0.043,0.9,WUFI-Passive Database,,"255,255,255,140"
Insulation,"Mineral Wool (heat cond.: 0,04 W/mK)",0.04,0.9,WUFI-Passive Database,,"255,255,255,0"
Insulation,Nexseal Closed Cell Spray PU,0.02,0.9,,,"255,200,200,120"
Insulation,PolyIso w Metal Fasteners,0.026,0.9,,,"255,255,153,255"
Insulation,Polyisocyanurate Board,0.024,0.9,WUFI-Passive Database,,"255,255,153,255"
Insulation,Purinet PU Block,0.086,0.9,,,
Insulation,Roxul Comforboard IS,0.036,0.9,,,"255,175,215,157"
Insulation,Roxul Comfortbatt 3.5in,0.034,0.9,,,"255,175,215,157"
Insulation,Roxul Comfortbatt 5.5in,0.034,0.9,,,"255,175,215,157"
Insulation,Roxul Comfortbatt 7.25in,0.035,0.9,,,"255,175,215,157"
Insulation,Roxul CurtainRock,0.032,0.9,,,"255,175,215,157"
Insulation,Shoeck Isokorb (Typ),0.206,0.9,,,
Insulation,SoundSense Syncork,0.096,0.9,,,"255,255,255,0"
Insulation,Sprayed Polyurethane Foam; closed cell,0.025,0.9,WUFI-Passive Database,,"255,200,200,120"
Insulation,Wood-Fibre Insulation Board,0.042,0.9,WUFI-Passive Database,,"255,130,130,0"
Insulation,XPS,0.029,0.9,,,"255,255,255,0"
Insulation,"XPS Core (heat cond.: 0,03 W/mK)",0.03,0.9,WUFI-Passive Database,,"255,255,255,0"
Masonry,Brick - Red Matte Clay,0.495,0.9,WUFI-Passive Database,,"255,185,160,115"
Masonry,Brick - Solid Extruded,0.6,0.9,WUFI-Passive Database,,"255,255,0,0"
Masonry,Brick (Common),0.72,0.9,,,
Masonry,Cement Mortar,0.431,0.9,,,
Masonry,CMU (8in Empty Cores),0.72,0.9,,,
Masonry,CMU (8in Perlite Cores),1.038,0.9,,,
Masonry,Mortar - Portland Cement-Lime,2.099,0.9,,,
Metal,Alum (Anodized),237,0.8,,,"255,192,192,192"
Metal,Alum (Painted),160,0.8,,,"255,192,192,192"
Metal,Aluminium,200,0.8,WUFI-Passive Database,,"255,192,192,192"
Metal,Steel (Plain Carbon),60,0.9,,,"255,255,0,0"
Metal,"Steel (Rolled, Ground)",50,0.6,,,"255,255,0,0"
Metal,Steel (Stainless),14.4,0.9,,,"255,255,0,0"
Stone,Stone,1.437,0.9,,,"255,130,0,255"
Stud Layer [Steel Stud],stl std w No Insul [0.75in],0.108,0.9,ASHRAE 90.1 Table A3.1.4,No Insulation,"255,185,235,255"
Stud Layer [Steel Stud],stl std w No Insul [1.0in],0.144,0.9,ASHRAE 90.1 Table A3.1.4,No Insulation,"255,185,235,255"
Stud Layer [Steel Stud],stl std w No Insul [1.5in],0.197,0.9,ASHRAE 90.1 Table A3.1.4,No Insulation,"255,185,235,255"
Stud Layer [Steel Stud],stl std w No Insul [2.0in],0.262,0.9,ASHRAE 90.1 Table A3.1.4,No Insulation,"255,185,235,255"
Stud Layer [Steel Stud],stl std w No Insul [2.5in],0.3,0.9,ASHRAE 90.1 Table A3.1.4,No Insulation,"255,185,235,255"
Stud Layer [Steel Stud],stl std w No Insul [3.0in],0.361,0.9,ASHRAE 90.1 Table A3.1.4,No Insulation,"255,185,235,255"
Stud Layer [Steel Stud],stl std w No Insul [3.5in],0.421,0.9,ASHRAE 90.1 Table A3.1.4,No Insulation,"255,185,235,255"
Stud Layer [Steel Stud],stl std w No Insul [4.0in],0.481,0.9,ASHRAE 90.1 Table A3.1.4,No Insulation,"255,185,235,255"
Stud Layer [Steel Stud],"stl std w No Insul [4.5in]
",0.541,0.9,ASHRAE 90.1 Table A3.1.4,No Insulation,"255,185,235,255"
Stud Layer [Steel Stud],stl std w No Insul [5.0in],0.601,0.9,ASHRAE 90.1 Table A3.1.4,No Insulation,"255,185,235,255"
Stud Layer [Steel Stud],stl std w No Insul [5.5in],0.61,0.9,ASHRAE 90.1 Table A3.1.4,No Insulation,"255,185,235,255"
Stud Layer [Steel Stud],stl std w R-3/in [1.0in],0.09,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-3/in [1.5in],0.103,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-3/in [2.0in],0.107,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-3/in [2.5in],0.113,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-3/in [3.0in],0.114,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-3/in [3.5in],0.117,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-3/in [4.0in],0.115,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-3/in [4.5in],0.12,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-3/in [5.0in],0.118,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-3/in [5.5in],0.12,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-4/in [0.5in],0.066,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-4/in [1.0in],0.085,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-4/in [1.5in],0.094,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-4/in [2.0in],0.1,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-4/in [2.5in],0.1,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-4/in [3.0in],0.103,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-4/in [3.5in],0.105,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-4/in [4.0in],0.107,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-4/in [4.5in],0.108,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-4/in [5.0in],0.108,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-4/in [5.5in],0.109,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-5/in [0.5in],0.066,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-5/in [1.0in],0.08,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-5/in [1.5in],0.09,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-5/in [2.0in],0.093,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-5/in [2.5in],0.097,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-5/in [3.0in],0.098,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-5/in [3.5in],0.099,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-5/in [4.0in],0.099,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-5/in [5.0in],0.102,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-5/in [5.5in],0.102,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-5/in[4.5in],0.101,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-6/in [0.5in],0.066,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-6/in [1.0in],0.08,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-6/in [1.5in],0.087,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-6/in [2.0in],0.09,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-6/in [2.5in],0.092,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-6/in [3.0in],0.094,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-6/in [3.5in],0.095,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-6/in [4.0in],0.096,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-6/in [4.5in],0.096,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-6/in [5.0in],0.096,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Steel Stud],stl std w R-6/in [5.5in],0.096,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Wood Stud],stl std w R-3/in [0.5in],0.08,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-3/in [0.5in],0.056,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-3/in [1.0in],0.05,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-3/in [1.5in],0.057,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-3/in [2.0in],0.054,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-3/in [2.5in],0.057,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-3/in [3.0in],0.056,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-3/in [3.5in],0.058,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-3/in [4.0in],0.057,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-3/in [4.5in],0.058,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-3/in [5.0in],0.057,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-3/in [5.5in],0.058,0.9,ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-4/in [0.5in],0.038,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-4/in [1.0in],0.042,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-4/in [1.5in],0.044,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-4/in [2.0in],0.045,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-4/in [2.5in],0.046,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-4/in [3.0in],0.046,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-4/in [3.5in],0.046,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-4/in [4.5in],0.047,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-4/in [5.0in],0.047,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-4/in [5.5in],0.047,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-4/in[4.0in],0.047,0.9,ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-5/in [0.5in],0.03,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-5/in [1.0in],0.037,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-5/in [1.5in],0.04,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-5/in [2.0in],0.04,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-5/in [2.5in],0.041,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-5/in [3.0in],0.04,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-5/in [3.5in],0.041,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-5/in [4.0in],0.041,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-5/in [4.5in],0.041,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-5/in [5.0in],0.041,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-5/in [5.5in],0.041,0.9,ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-6/in [0.5in],0.03,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-6/in [1.0in],0.034,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-6/in [1.5in],0.035,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-6/in [2.0in],0.036,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-6/in [2.5in],0.036,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-6/in [3.0in],0.036,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-6/in [3.5in],0.037,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-6/in [4.0in],0.037,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-6/in [4.5in],0.037,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-6/in [5.0in],0.037,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Stud Layer [Wood Stud],wd std w R-6/in [5.5in],0.037,0.9,ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray),"255,255,255,150"
Wood,CLT,0.12,0.9,,,"255,128,64,0"
Wood,Hardwood,0.13,0.9,WUFI-Passive Database,,"255,255,128,0"
Wood,OSB,0.13,0.9,,,"255,247,210,125"
Wood,OSB 3 (oriented strand board),0.105,0.9,WUFI-Passive Database,,"255,247,210,125"
Wood,Plywood (Typ),0.119,0.9,,,"255,148,148,73"
Wood,Plywood (USA),0.119,0.9,WUFI-Passive Database,,"255,148,148,73"
Wood,Softwood,0.09,0.9,WUFI-Passive Database,,"255,255,128,0"
Wood,Stora Enso CLT,0.098,0.9,WUFI-Passive Database,,"255,128,64,0"
Wood,"Wood, Coniferous (Softwood)",0.14,0.9,,,"255,255,130,0"
Wood,"Wood, Deciduous (Hardwood)",0.159,0.9,,,"255,255,130,0"