name,category,conductivity_w_mk,conductivity_btu_hr_ft_F,resistivity_hr_ft2_F_Btu_in,emissivity,ARGB_COLOR,display_name,source,comments
wd std w R-4/in [0.5in],Stud_Layers_Wd,0.038,0.0220,3.795,0.90,"255,255,255,150",wd std w R-4/in [0.5in] [R-3.8/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
wd std w R-4/in [1.0in],Stud_Layers_Wd,0.042,0.0245,3.402,0.90,"255,255,255,150",wd std w R-4/in [1.0in] [R-3.4/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
wd std w R-4/in [1.5in],Stud_Layers_Wd,0.044,0.0255,3.263,0.90,"255,255,255,150",wd std w R-4/in [1.5in] [R-3.26/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
wd std w R-4/in [2.0in],Stud_Layers_Wd,0.045,0.0261,3.198,0.90,"255,255,255,150",wd std w R-4/in [2.0in] [R-3.2/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
wd std w R-4/in [2.5in],Stud_Layers_Wd,0.046,0.0263,3.163,0.90,"255,255,255,150",wd std w R-4/in [2.5in] [R-3.16/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
wd std w R-4/in [3.0in],Stud_Layers_Wd,0.046,0.0266,3.135,0.90,"255,255,255,150",wd std w R-4/in [3.0in] [R-3.14/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
wd std w R-4/in [3.5in],Stud_Layers_Wd,0.046,0.0268,3.115,0.90,"255,255,255,150",wd std w R-4/in [3.5in] [R-3.12/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
wd std w R-4/in [4.5in],Stud_Layers_Wd,0.047,0.0272,3.069,0.90,"255,255,255,150",wd std w R-4/in [4.5in] [R-3.07/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
wd std w R-4/in [5.0in],Stud_Layers_Wd,0.047,0.0272,3.062,0.90,"255,255,255,150",wd std w R-4/in [5.0in] [R-3.06/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
wd std w R-4/in [5.5in],Stud_Layers_Wd,0.047,0.0273,3.056,0.90,"255,255,255,150",wd std w R-4/in [5.5in] [R-3.06/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
wd std w R-4/in[4.0in],Stud_Layers_Wd,0.047,0.0269,3.102,0.90,"255,255,255,150",wd std w R-4/in[4.0in] [R-3.1/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
wd std w R-5/in [0.5in],Stud_Layers_Wd,0.030,0.0174,4.800,0.90,"255,255,255,150",wd std w R-5/in [0.5in] [R-4.8/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
wd std w R-5/in [1.0in],Stud_Layers_Wd,0.037,0.0214,3.900,0.90,"255,255,255,150",wd std w R-5/in [1.0in] [R-3.9/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
wd std w R-5/in [1.5in],Stud_Layers_Wd,0.040,0.0231,3.600,0.90,"255,255,255,150",wd std w R-5/in [1.5in] [R-3.6/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
wd std w R-5/in [2.0in],Stud_Layers_Wd,0.040,0.0228,3.650,0.90,"255,255,255,150",wd std w R-5/in [2.0in] [R-3.65/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
wd std w R-5/in [2.5in],Stud_Layers_Wd,0.041,0.0237,3.520,0.90,"255,255,255,150",wd std w R-5/in [2.5in] [R-3.52/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
wd std w R-5/in [3.0in],Stud_Layers_Wd,0.040,0.0234,3.567,0.90,"255,255,255,150",wd std w R-5/in [3.0in] [R-3.57/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
wd std w R-5/in [3.5in],Stud_Layers_Wd,0.041,0.0239,3.486,0.90,"255,255,255,150",wd std w R-5/in [3.5in] [R-3.49/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
wd std w R-5/in [4.0in],Stud_Layers_Wd,0.041,0.0235,3.550,0.90,"255,255,255,150",wd std w R-5/in [4.0in] [R-3.55/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
wd std w R-5/in [4.5in],Stud_Layers_Wd,0.041,0.0239,3.489,0.90,"255,255,255,150",wd std w R-5/in [4.5in] [R-3.49/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
wd std w R-5/in [5.0in],Stud_Layers_Wd,0.041,0.0237,3.520,0.90,"255,255,255,150",wd std w R-5/in [5.0in] [R-3.52/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
wd std w R-5/in [5.5in],Stud_Layers_Wd,0.041,0.0237,3.520,0.90,"255,255,255,150",wd std w R-5/in [5.5in] [R-3.52/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
wd std w R-6/in [0.5in],Stud_Layers_Wd,0.030,0.0174,4.800,0.90,"255,255,255,150",wd std w R-6/in [0.5in] [R-4.8/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
wd std w R-6/in [1.0in],Stud_Layers_Wd,0.034,0.0194,4.300,0.90,"255,255,255,150",wd std w R-6/in [1.0in] [R-4.3/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
wd std w R-6/in [1.5in],Stud_Layers_Wd,0.035,0.0202,4.133,0.90,"255,255,255,150",wd std w R-6/in [1.5in] [R-4.13/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
wd std w R-6/in [2.0in],Stud_Layers_Wd,0.036,0.0206,4.050,0.90,"255,255,255,150",wd std w R-6/in [2.0in] [R-4.05/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
wd std w R-6/in [2.5in],Stud_Layers_Wd,0.036,0.0208,4.000,0.90,"255,255,255,150",wd std w R-6/in [2.5in] [R-4/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
wd std w R-6/in [3.0in],Stud_Layers_Wd,0.036,0.0210,3.967,0.90,"255,255,255,150",wd std w R-6/in [3.0in] [R-3.97/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
wd std w R-6/in [3.5in],Stud_Layers_Wd,0.037,0.0211,3.943,0.90,"255,255,255,150",wd std w R-6/in [3.5in] [R-3.94/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
wd std w R-6/in [4.0in],Stud_Layers_Wd,0.037,0.0212,3.925,0.90,"255,255,255,150",wd std w R-6/in [4.0in] [R-3.92/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
wd std w R-6/in [4.5in],Stud_Layers_Wd,0.037,0.0212,3.925,0.90,"255,255,255,150",wd std w R-6/in [4.5in] [R-3.92/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
wd std w R-6/in [5.0in],Stud_Layers_Wd,0.037,0.0212,3.925,0.90,"255,255,255,150",wd std w R-6/in [5.0in] [R-3.92/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
wd std w R-6/in [5.5in],Stud_Layers_Wd,0.037,0.0212,3.925,0.90,"255,255,255,150",wd std w R-6/in [5.5in] [R-3.92/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
"Air layer, unventilated, horizontal, thickness: 1 mm",Air: Horiz. Heatflow,0.046,0.0263,3.170,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 1 mm [R-3.17/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 2 mm",Air: Horiz. Heatflow,0.046,0.0263,3.170,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 2 mm [R-3.17/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 3 mm",Air: Horiz. Heatflow,0.046,0.0263,3.170,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 3 mm [R-3.17/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 4 mm",Air: Horiz. Heatflow,0.046,0.0263,3.170,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 4 mm [R-3.17/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 5 mm",Air: Horiz. Heatflow,0.046,0.0263,3.170,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 5 mm [R-3.17/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 6 mm",Air: Horiz. Heatflow,0.050,0.0289,2.885,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 6 mm [R-2.88/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 7 mm",Air: Horiz. Heatflow,0.054,0.0311,2.681,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 7 mm [R-2.68/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 8 mm",Air: Horiz. Heatflow,0.059,0.0338,2.465,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 8 mm [R-2.47/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 9 mm",Air: Horiz. Heatflow,0.063,0.0363,2.297,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 9 mm [R-2.3/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 10 mm",Air: Horiz. Heatflow,0.067,0.0385,2.162,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 10 mm [R-2.16/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 11 mm",Air: Horiz. Heatflow,0.071,0.0413,2.020,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 11 mm [R-2.02/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 12 mm",Air: Horiz. Heatflow,0.076,0.0439,1.900,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 12 mm [R-1.9/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 13 mm",Air: Horiz. Heatflow,0.080,0.0463,1.798,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 13 mm [R-1.8/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 14 mm",Air: Horiz. Heatflow,0.084,0.0487,1.711,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 14 mm [R-1.71/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 15 mm",Air: Horiz. Heatflow,0.088,0.0510,1.635,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 15 mm [R-1.64/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 16 mm",Air: Horiz. Heatflow,0.089,0.0514,1.622,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 16 mm [R-1.62/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 17 mm",Air: Horiz. Heatflow,0.094,0.0545,1.528,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 17 mm [R-1.53/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 18 mm",Air: Horiz. Heatflow,0.100,0.0578,1.442,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 18 mm [R-1.44/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 19 mm",Air: Horiz. Heatflow,0.106,0.0610,1.366,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 19 mm [R-1.37/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 20 mm",Air: Horiz. Heatflow,0.111,0.0642,1.298,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 20 mm [R-1.3/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 21 mm",Air: Horiz. Heatflow,0.117,0.0674,1.236,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 21 mm [R-1.24/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 22 mm",Air: Horiz. Heatflow,0.122,0.0706,1.180,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 22 mm [R-1.18/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 23 mm",Air: Horiz. Heatflow,0.128,0.0738,1.129,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 23 mm [R-1.13/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 24 mm",Air: Horiz. Heatflow,0.133,0.0770,1.082,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 24 mm [R-1.08/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 25 mm",Air: Horiz. Heatflow,0.139,0.0803,1.038,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 25 mm [R-1.04/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 30 mm",Air: Horiz. Heatflow,0.167,0.0963,0.865,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 30 mm [R-0.87/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 35 mm",Air: Horiz. Heatflow,0.194,0.1123,0.742,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 35 mm [R-0.74/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 40 mm",Air: Horiz. Heatflow,0.222,0.1284,0.649,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 40 mm [R-0.65/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 45 mm",Air: Horiz. Heatflow,0.250,0.1444,0.577,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 45 mm [R-0.58/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 50 mm",Air: Horiz. Heatflow,0.278,0.1605,0.519,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 50 mm [R-0.52/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 55 mm",Air: Horiz. Heatflow,0.306,0.1766,0.472,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 55 mm [R-0.47/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 60 mm",Air: Horiz. Heatflow,0.333,0.1926,0.433,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 60 mm [R-0.43/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 65 mm",Air: Horiz. Heatflow,0.361,0.2086,0.399,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 65 mm [R-0.4/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 70 mm",Air: Horiz. Heatflow,0.389,0.2247,0.371,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 70 mm [R-0.37/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 75 mm",Air: Horiz. Heatflow,0.417,0.2408,0.346,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 75 mm [R-0.35/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 80 mm",Air: Horiz. Heatflow,0.444,0.2568,0.325,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 80 mm [R-0.32/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 85 mm",Air: Horiz. Heatflow,0.472,0.2728,0.305,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 85 mm [R-0.31/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 90 mm",Air: Horiz. Heatflow,0.500,0.2889,0.288,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 90 mm [R-0.29/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 95 mm",Air: Horiz. Heatflow,0.528,0.3050,0.273,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 95 mm [R-0.27/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 100 mm",Air: Horiz. Heatflow,0.556,0.3210,0.260,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 100 mm [R-0.26/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 110 mm",Air: Horiz. Heatflow,0.611,0.3531,0.236,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 110 mm [R-0.24/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 120 mm",Air: Horiz. Heatflow,0.667,0.3852,0.216,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 120 mm [R-0.22/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 130 mm",Air: Horiz. Heatflow,0.722,0.4173,0.200,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 130 mm [R-0.2/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 140 mm",Air: Horiz. Heatflow,0.778,0.4494,0.185,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 140 mm [R-0.19/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 150 mm",Air: Horiz. Heatflow,0.833,0.4815,0.173,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 150 mm [R-0.17/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 160 mm",Air: Horiz. Heatflow,0.889,0.5136,0.162,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 160 mm [R-0.16/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 170 mm",Air: Horiz. Heatflow,0.944,0.5457,0.153,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 170 mm [R-0.15/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 180 mm",Air: Horiz. Heatflow,1.000,0.5778,0.144,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 180 mm [R-0.14/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 190 mm",Air: Horiz. Heatflow,1.056,0.6099,0.137,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 190 mm [R-0.14/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 200 mm",Air: Horiz. Heatflow,1.111,0.6420,0.130,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 200 mm [R-0.13/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 210 mm",Air: Horiz. Heatflow,1.167,0.6741,0.124,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 210 mm [R-0.12/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 220 mm",Air: Horiz. Heatflow,1.222,0.7062,0.118,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 220 mm [R-0.12/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 230 mm",Air: Horiz. Heatflow,1.278,0.7383,0.113,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 230 mm [R-0.11/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 240 mm",Air: Horiz. Heatflow,1.333,0.7704,0.108,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 240 mm [R-0.11/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 250 mm",Air: Horiz. Heatflow,1.389,0.8025,0.104,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 250 mm [R-0.1/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 260 mm",Air: Horiz. Heatflow,1.444,0.8346,0.100,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 260 mm [R-0.1/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 270 mm",Air: Horiz. Heatflow,1.500,0.8667,0.096,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 270 mm [R-0.1/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 280 mm",Air: Horiz. Heatflow,1.556,0.8988,0.093,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 280 mm [R-0.09/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 290 mm",Air: Horiz. Heatflow,1.611,0.9309,0.090,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 290 mm [R-0.09/in.]",ISO 6946 Method,
"Air layer, unventilated, horizontal, thickness: 300 mm",Air: Horiz. Heatflow,1.667,0.9630,0.087,0.90,"255,175,240,255","Air layer, unventilated, horizontal, thickness: 300 mm [R-0.09/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 1 mm",Air: Upward Heatflow,0.046,0.0263,3.170,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 1 mm [R-3.17/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 2 mm",Air: Upward Heatflow,0.046,0.0263,3.170,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 2 mm [R-3.17/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 3 mm",Air: Upward Heatflow,0.046,0.0263,3.170,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 3 mm [R-3.17/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 4 mm",Air: Upward Heatflow,0.046,0.0263,3.170,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 4 mm [R-3.17/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 5 mm",Air: Upward Heatflow,0.046,0.0263,3.170,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 5 mm [R-3.17/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 6 mm",Air: Upward Heatflow,0.050,0.0289,2.885,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 6 mm [R-2.88/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 7 mm",Air: Upward Heatflow,0.054,0.0311,2.681,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 7 mm [R-2.68/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 8 mm",Air: Upward Heatflow,0.059,0.0338,2.465,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 8 mm [R-2.47/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 9 mm",Air: Upward Heatflow,0.063,0.0363,2.297,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 9 mm [R-2.3/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 10 mm",Air: Upward Heatflow,0.067,0.0385,2.162,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 10 mm [R-2.16/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 11 mm",Air: Upward Heatflow,0.072,0.0418,1.992,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 11 mm [R-1.99/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 12 mm",Air: Upward Heatflow,0.078,0.0450,1.851,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 12 mm [R-1.85/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 13 mm",Air: Upward Heatflow,0.083,0.0481,1.731,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 13 mm [R-1.73/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 14 mm",Air: Upward Heatflow,0.089,0.0512,1.628,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 14 mm [R-1.63/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 15 mm",Air: Upward Heatflow,0.094,0.0542,1.538,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 15 mm [R-1.54/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 16 mm",Air: Upward Heatflow,0.100,0.0578,1.442,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 16 mm [R-1.44/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 17 mm",Air: Upward Heatflow,0.106,0.0614,1.357,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 17 mm [R-1.36/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 18 mm",Air: Upward Heatflow,0.113,0.0650,1.282,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 18 mm [R-1.28/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 19 mm",Air: Upward Heatflow,0.119,0.0686,1.214,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 19 mm [R-1.21/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 20 mm",Air: Upward Heatflow,0.125,0.0722,1.154,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 20 mm [R-1.15/in.]",ISO 6946 Method,
