name,category,conductivity_w_mk,conductivity_btu_hr_ft_F,resistivity_hr_ft2_F_Btu_in,emissivity,ARGB_COLOR,display_name,source,comments
"Air layer, unventilated, upwards, thickness: 21 mm",Air: Upward Heatflow,0.131,0.0759,1.098,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 21 mm [R-1.1/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 22 mm",Air: Upward Heatflow,0.138,0.0794,1.049,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 22 mm [R-1.05/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 23 mm",Air: Upward Heatflow,0.144,0.0831,1.003,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 23 mm [R-1/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 24 mm",Air: Upward Heatflow,0.150,0.0867,0.962,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 24 mm [R-0.96/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 25 mm",Air: Upward Heatflow,0.156,0.0903,0.923,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 25 mm [R-0.92/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 30 mm",Air: Upward Heatflow,0.188,0.1083,0.769,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 30 mm [R-0.77/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 35 mm",Air: Upward Heatflow,0.219,0.1264,0.659,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 35 mm [R-0.66/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 40 mm",Air: Upward Heatflow,0.250,0.1444,0.577,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 40 mm [R-0.58/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 45 mm",Air: Upward Heatflow,0.281,0.1625,0.513,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 45 mm [R-0.51/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 50 mm",Air: Upward Heatflow,0.313,0.1806,0.462,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 50 mm [R-0.46/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 55 mm",Air: Upward Heatflow,0.344,0.1986,0.420,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 55 mm [R-0.42/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 60 mm",Air: Upward Heatflow,0.375,0.2167,0.385,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 60 mm [R-0.38/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 65 mm",Air: Upward Heatflow,0.406,0.2348,0.355,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 65 mm [R-0.35/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 70 mm",Air: Upward Heatflow,0.438,0.2528,0.330,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 70 mm [R-0.33/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 75 mm",Air: Upward Heatflow,0.469,0.2709,0.308,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 75 mm [R-0.31/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 80 mm",Air: Upward Heatflow,0.500,0.2889,0.288,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 80 mm [R-0.29/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 85 mm",Air: Upward Heatflow,0.531,0.3070,0.271,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 85 mm [R-0.27/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 90 mm",Air: Upward Heatflow,0.563,0.3250,0.256,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 90 mm [R-0.26/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 95 mm",Air: Upward Heatflow,0.594,0.3431,0.243,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 95 mm [R-0.24/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 100 mm",Air: Upward Heatflow,0.625,0.3611,0.231,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 100 mm [R-0.23/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 110 mm",Air: Upward Heatflow,0.688,0.3972,0.210,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 110 mm [R-0.21/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 120 mm",Air: Upward Heatflow,0.750,0.4333,0.192,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 120 mm [R-0.19/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 130 mm",Air: Upward Heatflow,0.813,0.4695,0.178,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 130 mm [R-0.18/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 140 mm",Air: Upward Heatflow,0.875,0.5056,0.165,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 140 mm [R-0.16/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 150 mm",Air: Upward Heatflow,0.938,0.5417,0.154,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 150 mm [R-0.15/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 160 mm",Air: Upward Heatflow,1.000,0.5778,0.144,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 160 mm [R-0.14/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 170 mm",Air: Upward Heatflow,1.063,0.6139,0.136,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 170 mm [R-0.14/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 180 mm",Air: Upward Heatflow,1.125,0.6500,0.128,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 180 mm [R-0.13/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 190 mm",Air: Upward Heatflow,1.188,0.6861,0.121,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 190 mm [R-0.12/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 200 mm",Air: Upward Heatflow,1.250,0.7222,0.115,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 200 mm [R-0.12/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 210 mm",Air: Upward Heatflow,1.313,0.7583,0.110,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 210 mm [R-0.11/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 220 mm",Air: Upward Heatflow,1.375,0.7945,0.105,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 220 mm [R-0.1/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 230 mm",Air: Upward Heatflow,1.438,0.8306,0.100,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 230 mm [R-0.1/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 240 mm",Air: Upward Heatflow,1.500,0.8667,0.096,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 240 mm [R-0.1/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 250 mm",Air: Upward Heatflow,1.563,0.9028,0.092,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 250 mm [R-0.09/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 260 mm",Air: Upward Heatflow,1.625,0.9389,0.089,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 260 mm [R-0.09/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 270 mm",Air: Upward Heatflow,1.688,0.9750,0.085,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 270 mm [R-0.09/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 280 mm",Air: Upward Heatflow,1.750,1.0111,0.082,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 280 mm [R-0.08/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 290 mm",Air: Upward Heatflow,1.813,1.0472,0.080,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 290 mm [R-0.08/in.]",ISO 6946 Method,
"Air layer, unventilated, upwards, thickness: 300 mm",Air: Upward Heatflow,1.875,1.0834,0.077,0.90,"255,175,240,255","Air layer, unventilated, upwards, thickness: 300 mm [R-0.08/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 1 mm",Air: Downward Heatflow,0.046,0.0263,3.170,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 1 mm [R-3.17/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 2 mm",Air: Downward Heatflow,0.046,0.0263,3.170,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 2 mm [R-3.17/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 3 mm",Air: Downward Heatflow,0.046,0.0263,3.170,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 3 mm [R-3.17/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 4 mm",Air: Downward Heatflow,0.046,0.0263,3.170,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 4 mm [R-3.17/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 5 mm",Air: Downward Heatflow,0.046,0.0263,3.170,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 5 mm [R-3.17/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 6 mm",Air: Downward Heatflow,0.050,0.0289,2.885,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 6 mm [R-2.88/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 7 mm",Air: Downward Heatflow,0.054,0.0311,2.681,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 7 mm [R-2.68/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 8 mm",Air: Downward Heatflow,0.059,0.0338,2.465,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 8 mm [R-2.47/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 9 mm",Air: Downward Heatflow,0.063,0.0363,2.297,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 9 mm [R-2.3/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 10 mm",Air: Downward Heatflow,0.067,0.0385,2.162,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 10 mm [R-2.16/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 11 mm",Air: Downward Heatflow,0.071,0.0413,2.020,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 11 mm [R-2.02/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 12 mm",Air: Downward Heatflow,0.076,0.0439,1.900,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 12 mm [R-1.9/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 13 mm",Air: Downward Heatflow,0.080,0.0463,1.798,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 13 mm [R-1.8/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 14 mm",Air: Downward Heatflow,0.084,0.0487,1.711,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 14 mm [R-1.71/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 15 mm",Air: Downward Heatflow,0.088,0.0510,1.635,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 15 mm [R-1.64/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 16 mm",Air: Downward Heatflow,0.093,0.0537,1.551,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 16 mm [R-1.55/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 17 mm",Air: Downward Heatflow,0.098,0.0565,1.476,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 17 mm [R-1.48/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 18 mm",Air: Downward Heatflow,0.102,0.0591,1.410,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 18 mm [R-1.41/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 19 mm",Air: Downward Heatflow,0.107,0.0617,1.352,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 19 mm [R-1.35/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 20 mm",Air: Downward Heatflow,0.111,0.0642,1.298,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 20 mm [R-1.3/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 21 mm",Air: Downward Heatflow,0.115,0.0667,1.250,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 21 mm [R-1.25/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 22 mm",Air: Downward Heatflow,0.120,0.0691,1.206,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 22 mm [R-1.21/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 23 mm",Air: Downward Heatflow,0.124,0.0715,1.166,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 23 mm [R-1.17/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 24 mm",Air: Downward Heatflow,0.128,0.0738,1.129,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 24 mm [R-1.13/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 25 mm",Air: Downward Heatflow,0.132,0.0760,1.096,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 25 mm [R-1.1/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 30 mm",Air: Downward Heatflow,0.155,0.0893,0.933,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 30 mm [R-0.93/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 35 mm",Air: Downward Heatflow,0.177,0.1022,0.816,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 35 mm [R-0.82/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 40 mm",Air: Downward Heatflow,0.198,0.1144,0.728,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 40 mm [R-0.73/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 45 mm",Air: Downward Heatflow,0.218,0.1262,0.660,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 45 mm [R-0.66/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 50 mm",Air: Downward Heatflow,0.238,0.1376,0.606,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 50 mm [R-0.61/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 55 mm",Air: Downward Heatflow,0.261,0.1506,0.553,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 55 mm [R-0.55/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 60 mm",Air: Downward Heatflow,0.283,0.1635,0.510,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 60 mm [R-0.51/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 65 mm",Air: Downward Heatflow,0.305,0.1763,0.473,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 65 mm [R-0.47/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 70 mm",Air: Downward Heatflow,0.327,0.1890,0.441,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 70 mm [R-0.44/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 75 mm",Air: Downward Heatflow,0.349,0.2015,0.413,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 75 mm [R-0.41/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 80 mm",Air: Downward Heatflow,0.370,0.2140,0.389,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 80 mm [R-0.39/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 85 mm",Air: Downward Heatflow,0.392,0.2263,0.368,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 85 mm [R-0.37/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 90 mm",Air: Downward Heatflow,0.413,0.2385,0.349,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 90 mm [R-0.35/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 95 mm",Air: Downward Heatflow,0.434,0.2506,0.332,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 95 mm [R-0.33/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 100 mm",Air: Downward Heatflow,0.455,0.2626,0.317,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 100 mm [R-0.32/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 110 mm",Air: Downward Heatflow,0.499,0.2883,0.289,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 110 mm [R-0.29/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 120 mm",Air: Downward Heatflow,0.543,0.3137,0.266,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 120 mm [R-0.27/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 130 mm",Air: Downward Heatflow,0.587,0.3391,0.246,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 130 mm [R-0.25/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 140 mm",Air: Downward Heatflow,0.631,0.3644,0.229,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 140 mm [R-0.23/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 150 mm",Air: Downward Heatflow,0.674,0.3895,0.214,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 150 mm [R-0.21/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 160 mm",Air: Downward Heatflow,0.718,0.4146,0.201,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 160 mm [R-0.2/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 170 mm",Air: Downward Heatflow,0.761,0.4395,0.190,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 170 mm [R-0.19/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 180 mm",Air: Downward Heatflow,0.804,0.4643,0.179,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 180 mm [R-0.18/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 190 mm",Air: Downward Heatflow,0.846,0.4890,0.170,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 190 mm [R-0.17/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 200 mm",Air: Downward Heatflow,0.889,0.5136,0.162,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 200 mm [R-0.16/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 210 mm",Air: Downward Heatflow,0.931,0.5381,0.155,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 210 mm [R-0.15/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 220 mm",Air: Downward Heatflow,0.974,0.5625,0.148,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 220 mm [R-0.15/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 230 mm",Air: Downward Heatflow,1.016,0.5867,0.142,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 230 mm [R-0.14/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 240 mm",Air: Downward Heatflow,1.057,0.6109,0.136,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 240 mm [R-0.14/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 250 mm",Air: Downward Heatflow,1.099,0.6349,0.131,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 250 mm [R-0.13/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 260 mm",Air: Downward Heatflow,1.140,0.6589,0.126,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 260 mm [R-0.13/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 270 mm",Air: Downward Heatflow,1.182,0.6827,0.122,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 270 mm [R-0.12/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 280 mm",Air: Downward Heatflow,1.223,0.7065,0.118,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 280 mm [R-0.12/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 290 mm",Air: Downward Heatflow,1.264,0.7301,0.114,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 290 mm [R-0.11/in.]",ISO 6946 Method,
"Air layer, unventilated, downwards, thickness: 300 mm",Air: Downward Heatflow,1.304,0.7536,0.111,0.90,"255,175,240,255","Air layer, unventilated, downwards, thickness: 300 mm [R-0.11/in.]",ISO 6946 Method,
Roxul Comfortboard IS with Mild-Steel Stone Anchor 16in OC,Rainscreen Insulation,0.044,0.0255,3.270,0.90,"255,225,255,175",Roxul Comfortboard IS with Mild-Steel Stone Anchor 16in OC [R-3.27/in.],PHIUS Fastener Correction Tool,HB Concrete 2-Seal Stone Anchor
Roxul Comfortboard IS with SS Brick-Ties 16in OC,Rainscreen Insulation,0.050,0.0287,2.900,0.90,"255,255,235,175",Roxul Comfortboard IS with SS Brick-Ties 16in OC [R-2.9/in.],PHIUS Fastener Correction Tool,HB 213-2X Adjustable Veneer Anchor
XPS with SS Screw 16in OC,Rainscreen Insulation,0.031,0.0177,4.710,0.90,"255,255,235,175",XPS with SS Screw 16in OC [R-4.71/in.],PHIUS Fastener Correction Tool,"GRK R4 SS Screw #10 (0.124"" diam.)"
1in. Imperial Polyurethane,Doors,0.055,0.0317,2.630,0.90,"255,255,255,0",1in. Imperial Polyurethane [R-2.63/in.],Manufacturer Datasheet,Ceco Door - Assa Abloy
1in. Imperial Polyurethane and Embossed,Doors,0.056,0.0326,2.560,0.90,"255,255,255,0",1in. Imperial Polyurethane and Embossed [R-2.56/in.],Manufacturer Datasheet,Ceco Door - Assa Abloy
1in. Imperial Polyurethane and Half-Glass,Doors,0.059,0.0342,2.440,0.90,"255,255,255,0",1in. Imperial Polyurethane and Half-Glass [R-2.44/in.],Manufacturer Datasheet,Ceco Door - Assa Abloy
1in. Legion Polystyrene,Doors,0.062,0.0358,2.330,0.90,"255,255,255,0",1in. Legion Polystyrene [R-2.33/in.],Manufacturer Datasheet,Ceco Door - Assa Abloy
1in. Legion Polystyrene and Half-Glass,Doors,0.066,0.0384,2.170,0.90,"255,255,255,0",1in. Legion Polystyrene and Half-Glass [R-2.17/in.],Manufacturer Datasheet,Ceco Door - Assa Abloy
1in. Medallion Steel Stiffened,Doors,0.092,0.0534,1.560,0.90,"255,255,255,0",1in. Medallion Steel Stiffened [R-1.56/in.],Manufacturer Datasheet,Ceco Door - Assa Abloy
1in. Trio-E Polyurethane and Steel Stiffened,Doors,0.052,0.0300,2.780,0.90,"255,255,255,0",1in. Trio-E Polyurethane and Steel Stiffened [R-2.78/in.],Manufacturer Datasheet,Ceco Door - Assa Abloy